Pokedex Number,Pokemon Name,Alternate Form Name,Legendary Type,Pokemon Height,Pokemon Weight,Primary Type,Secondary Type,Male Ratio,Female Ratio,Base Happiness,Game(s) of Origin,Health Stat,Attack Stat,Defense Stat,Special Attack Stat,Special Defense Stat,Speed Stat,Base Stat Total,Health EV,Attack EV,Defense EV,Special Attack EV,Special Defense EV,Speed EV,EV Yield Total,Catch Rate,Experience Growth,Experience Growth Total,Primary Egg Group,Secondary Egg Group,Egg Cycle Count
239,Elekid,NULL,NULL,0.6,23.5,Electric,NULL,75.0,25.0,50,Gold,45,63,37,65,55,95,360,0,0,0,0,0,1,1,45,Medium Fast,1000000,No Eggs Discovered,NULL,25
240,Magby,NULL,NULL,0.7,21.4,Fire,NULL,75.0,25.0,50,Gold,45,75,37,70,55,83,365,0,0,0,0,0,1,1,45,Medium Fast,1000000,No Eggs Discovered,NULL,25
241,Miltank,NULL,NULL,1.2,75.5,Normal,NULL,0.0,100.0,50,Gold,95,80,105,40,70,100,490,0,0,2,0,0,0,2,45,Slow,1250000,Field,NULL,20
242,Blissey,NULL,NULL,1.5,46.8,Normal,NULL,0.0,100.0,140,Gold,255,10,10,75,135,55,540,3,0,0,0,0,0,3,30,Fast,800000,Fairy,NULL,40
243,Raikou,NULL,Sub-Legendary,1.9,178.0,Electric,NULL,0.0,0.0,35,Gold,90,85,75,115,100,115,580,0,0,0,1,0,2,3,3,Slow,1250000,No Eggs Discovered,NULL,80
244,Entei,NULL,Sub-Legendary,2.1,198.0,Fire,NULL,0.0,0.0,35,Gold,115,115,85,90,75,100,580,1,2,0,0,0,0,3,3,Slow,1250000,No Eggs Discovered,NULL,80
245,Suicune,NULL,Sub-Legendary,2.0,187.0,Water,NULL,0.0,0.0,35,Gold,100,75,115,90,115,85,580,0,0,1,0,2,0,3,3,Slow,1250000,No Eggs Discovered,NULL,80
246,Larvitar,NULL,NULL,0.6,72.0,Rock,Ground,50.0,50.0,35,Gold,50,64,50,45,50,41,300,0,1,0,0,0,0,1,45,Slow,1250000,Monster,NULL,40
247,Pupitar,NULL,NULL,1.2,152.0,Rock,Ground,50.0,50.0,35,Gold,70,84,70,65,70,51,410,0,2,0,0,0,0,2,45,Slow,1250000,Monster,NULL,40
248,Tyranitar,NULL,NULL,2.0,202.0,Rock,Dark,50.0,50.0,35,Gold,100,134,110,95,100,61,600,0,3,0,0,0,0,3,45,Slow,1250000,Monster,NULL,40
248,Tyranitar,Mega,NULL,2.5,255.0,Rock,Dark,50.0,50.0,35,X,100,164,150,95,120,71,700,0,3,0,0,0,0,3,45,Slow,1250000,Monster,NULL,40
249,Lugia,NULL,Legendary,5.2,216.0,Psychic,Flying,0.0,0.0,0,Gold,106,90,130,90,154,110,680,0,0,0,0,3,0,3,3,Slow,1250000,No Eggs Discovered,NULL,120
250,Ho-Oh,NULL,Legendary,3.8,199.0,Fire,Flying,0.0,0.0,0,Gold,106,130,90,110,154,90,680,0,0,0,0,3,0,3,3,Slow,1250000,No Eggs Discovered,NULL,120
251,Celebi,NULL,Mythical,0.6,5.0,Psychic,Grass,0.0,0.0,100,Gold,100,100,100,100,100,100,600,3,0,0,0,0,0,3,45,Medium Slow,1059860,No Eggs Discovered,NULL,120
252,Treecko,NULL,NULL,0.5,5.0,Grass,NULL,87.5,12.5,50,Ruby,40,45,35,65,55,70,310,0,0,0,0,0,1,1,45,Medium Slow,1059860,Monster,Dragon,20
253,Grovyle,NULL,NULL,0.9,21.6,Grass,NULL,87.5,12.5,50,Ruby,50,65,45,85,65,95,405,0,0,0,0,0,2,2,45,Medium Slow,1059860,Monster,Dragon,20
254,Sceptile,NULL,NULL,1.7,52.2,Grass,NULL,87.5,12.5,50,Ruby,70,85,65,105,85,120,530,0,0,0,0,0,3,3,45,Medium Slow,1059860,Monster,Dragon,20
254,Sceptile,Mega,NULL,1.9,55.2,Grass,Dragon,87.5,12.5,70,Omega Ruby,70,110,75,145,85,145,630,0,0,0,0,0,3,3,45,Medium Slow,1059860,Monster,Dragon,20
255,Torchic,NULL,NULL,0.4,2.5,Fire,NULL,87.5,12.5,50,Ruby,45,60,40,70,50,45,310,0,0,0,1,0,0,1,45,Medium Slow,1059860,Field,NULL,20
256,Combusken,NULL,NULL,0.9,19.5,Fire,Fighting,87.5,12.5,50,Ruby,60,85,60,85,60,55,405,0,1,0,1,0,0,2,45,Medium Slow,1059860,Field,NULL,20
257,Blaziken,NULL,NULL,1.9,52.0,Fire,Fighting,87.5,12.5,50,Ruby,80,120,70,110,70,80,530,0,3,0,0,0,0,3,45,Medium Slow,1059860,Field,NULL,20
257,Blaziken,Mega,NULL,1.9,52.0,Fire,Fighting,87.5,12.5,70,X,80,160,80,130,80,100,630,0,3,0,0,0,0,3,45,Medium Slow,1059860,Field,NULL,20
258,Mudkip,NULL,NULL,0.4,7.6,Water,NULL,87.5,12.5,50,Ruby,50,70,50,50,50,40,310,0,1,0,0,0,0,1,45,Medium Slow,1059860,Monster,Water 1,20
259,Marshtomp,NULL,NULL,0.7,28.0,Water,Ground,87.5,12.5,50,Ruby,70,85,70,60,70,50,405,0,2,0,0,0,0,2,45,Medium Slow,1059860,Monster,Water 1,20
260,Swampert,NULL,NULL,1.5,81.9,Water,Ground,87.5,12.5,50,Ruby,100,110,90,85,90,60,535,0,3,0,0,0,0,3,45,Medium Slow,1059860,Monster,Water 1,20
260,Swampert,Mega,NULL,1.9,102.0,Water,Ground,87.5,12.5,70,Omega Ruby,100,150,110,95,110,70,635,0,3,0,0,0,0,3,45,Medium Slow,1059860,Monster,Water 1,20
261,Poochyena,NULL,NULL,0.5,13.6,Dark,NULL,50.0,50.0,50,Ruby,35,55,35,30,30,35,220,0,1,0,0,0,0,1,255,Medium Fast,1000000,Field,NULL,15
262,Mightyena,NULL,NULL,1.0,37.0,Dark,NULL,50.0,50.0,50,Ruby,70,90,70,60,60,70,420,0,2,0,0,0,0,2,127,Medium Fast,1000000,Field,NULL,15
263,Zigzagoon,NULL,NULL,0.4,17.5,Normal,NULL,50.0,50.0,50,Ruby,38,30,41,30,41,60,240,0,0,0,0,0,1,1,255,Medium Fast,1000000,Field,NULL,15
263,Zigzagoon,Galar,NULL,0.4,17.5,Dark,Normal,50.0,50.0,50,Sword,38,30,41,30,41,60,240,0,0,0,0,0,1,1,255,Medium Fast,1000000,Field,NULL,15
264,Linoone,NULL,NULL,0.5,32.5,Normal,NULL,50.0,50.0,50,Ruby,78,70,61,50,61,100,420,0,0,0,0,0,2,2,90,Medium Fast,1000000,Field,NULL,15
264,Linoone,Galar,NULL,0.5,32.5,Dark,Normal,50.0,50.0,50,Sword,78,70,61,50,61,100,420,0,0,0,0,0,2,2,90,Medium Fast,1000000,Field,NULL,15
265,Wurmple,NULL,NULL,0.3,3.6,Bug,NULL,50.0,50.0,50,Ruby,45,45,35,20,30,20,195,1,0,0,0,0,0,1,255,Medium Fast,1000000,Bug,NULL,15
266,Silcoon,NULL,NULL,0.6,10.0,Bug,NULL,50.0,50.0,50,Ruby,50,35,55,25,25,15,205,0,0,2,0,0,0,2,120,Medium Fast,1000000,Bug,NULL,15
267,Beautifly,NULL,NULL,1.0,28.4,Bug,Flying,50.0,50.0,50,Ruby,60,70,50,100,50,65,395,0,0,0,3,0,0,3,45,Medium Fast,1000000,Bug,NULL,15
268,Cascoon,NULL,NULL,0.7,11.5,Bug,NULL,50.0,50.0,50,Ruby,50,35,55,25,25,15,205,0,0,2,0,0,0,2,120,Medium Fast,1000000,Bug,NULL,15
269,Dustox,NULL,NULL,1.2,31.6,Bug,Poison,50.0,50.0,50,Ruby,60,50,70,50,90,65,385,0,0,0,0,3,0,3,45,Medium Fast,1000000,Bug,NULL,15
270,Lotad,NULL,NULL,0.5,2.6,Water,Grass,50.0,50.0,50,Ruby,40,30,30,40,50,30,220,0,0,0,0,1,0,1,255,Medium Slow,1059860,Water 1,Grass,15
271,Lombre,NULL,NULL,1.2,32.5,Water,Grass,50.0,50.0,50,Ruby,60,50,50,60,70,50,340,0,0,0,0,2,0,2,120,Medium Slow,1059860,Water 1,Grass,15
272,Ludicolo,NULL,NULL,1.5,55.0,Water,Grass,50.0,50.0,50,Ruby,80,70,70,90,100,70,480,0,0,0,0,3,0,3,45,Medium Slow,1059860,Water 1,Grass,15
273,Seedot,NULL,NULL,0.5,4.0,Grass,NULL,50.0,50.0,50,Ruby,40,40,50,30,30,30,220,0,0,1,0,0,0,1,255,Medium Slow,1059860,Field,Grass,15
274,Nuzleaf,NULL,NULL,1.0,28.0,Grass,Dark,50.0,50.0,50,Ruby,70,70,40,60,40,60,340,0,2,0,0,0,0,2,120,Medium Slow,1059860,Field,Grass,15
275,Shiftry,NULL,NULL,1.3,59.6,Grass,Dark,50.0,50.0,50,Ruby,90,100,60,90,60,80,480,0,3,0,0,0,0,3,45,Medium Slow,1059860,Fairy,Grass,15
276,Taillow,NULL,NULL,0.3,2.3,Normal,Flying,50.0,50.0,50,Ruby,40,55,30,30,30,85,270,0,0,0,0,0,1,1,200,Medium Slow,1059860,Flying,NULL,15
277,Swellow,NULL,NULL,0.7,19.8,Normal,Flying,50.0,50.0,50,Ruby,60,85,60,75,50,125,455,0,0,0,0,0,2,2,45,Medium Slow,1059860,Flying,NULL,15
278,Wingull,NULL,NULL,0.6,9.5,Water,Flying,50.0,50.0,50,Ruby,40,30,30,55,30,85,270,0,0,0,0,0,1,1,190,Medium Fast,1000000,Water 1,Flying,20
279,Pelipper,NULL,NULL,1.2,28.0,Water,Flying,50.0,50.0,50,Ruby,60,50,100,95,70,65,440,0,0,2,0,0,0,2,45,Medium Fast,1000000,Water 1,Flying,20
280,Ralts,NULL,NULL,0.4,6.6,Psychic,Fairy,50.0,50.0,35,Ruby,28,25,25,45,35,40,198,0,0,0,1,0,0,1,235,Slow,1250000,Human-Like,Amorphous,20
281,Kirlia,NULL,NULL,0.8,20.2,Psychic,Fairy,50.0,50.0,35,Ruby,38,35,35,65,55,50,278,0,0,0,2,0,0,2,120,Slow,1250000,Human-Like,Amorphous,20
282,Gardevoir,NULL,NULL,1.6,48.4,Psychic,Fairy,50.0,50.0,35,Ruby,68,65,65,125,115,80,518,0,0,0,3,0,0,3,45,Slow,1250000,Human-Like,Amorphous,20
282,Gardevoir,Mega,NULL,1.6,48.4,Psychic,Fairy,50.0,50.0,35,X,68,85,65,165,135,100,618,0,0,0,3,0,0,3,45,Slow,1250000,Amorphous,NULL,20
283,Surskit,NULL,NULL,0.5,1.7,Bug,Water,50.0,50.0,50,Ruby,40,30,32,50,52,65,269,0,0,0,0,0,1,1,200,Medium Fast,1000000,Water 1,Bug,15
284,Masquerain,NULL,NULL,0.8,3.6,Bug,Flying,50.0,50.0,50,Ruby,70,60,62,100,82,80,454,0,0,0,1,1,0,2,75,Medium Fast,1000000,Water 1,Bug,15
285,Shroomish,NULL,NULL,0.4,4.5,Grass,NULL,50.0,50.0,50,Ruby,60,40,60,40,60,35,295,1,0,0,0,0,0,1,255,Fluctuating,1640000,Fairy,Grass,15
286,Breloom,NULL,NULL,1.2,39.2,Grass,Fighting,50.0,50.0,50,Ruby,60,130,80,60,60,70,460,0,2,0,0,0,0,2,90,Fluctuating,1640000,Fairy,Grass,15
287,Slakoth,NULL,NULL,0.8,24.0,Normal,NULL,50.0,50.0,50,Ruby,60,60,60,35,35,30,280,1,0,0,0,0,0,1,255,Slow,1250000,Field,NULL,15
288,Vigoroth,NULL,NULL,1.4,46.5,Normal,NULL,50.0,50.0,50,Ruby,80,80,80,55,55,90,440,0,0,0,0,0,2,2,120,Slow,1250000,Field,NULL,15
289,Slaking,NULL,NULL,2.0,130.5,Normal,NULL,50.0,50.0,50,Ruby,150,160,100,95,65,100,670,3,0,0,0,0,0,3,45,Slow,1250000,Field,NULL,15
290,Nincada,NULL,NULL,0.5,5.5,Bug,Ground,50.0,50.0,50,Ruby,31,45,90,30,30,40,266,0,0,1,0,0,0,1,255,Erratic,600000,Bug,NULL,15
291,Ninjask,NULL,NULL,0.8,12.0,Bug,Flying,50.0,50.0,50,Ruby,61,90,45,50,50,160,456,0,0,0,0,0,2,2,120,Erratic,600000,Bug,NULL,15
292,Shedinja,NULL,NULL,0.8,1.2,Bug,Ghost,0.0,0.0,50,Ruby,1,90,45,30,30,40,236,2,0,0,0,0,0,2,45,Erratic,600000,Mineral,NULL,15
293,Whismur,NULL,NULL,0.6,16.3,Normal,NULL,50.0,50.0,50,Ruby,64,51,23,51,23,28,240,1,0,0,0,0,0,1,190,Medium Slow,1059860,Monster,Field,20
294,Loudred,NULL,NULL,1.0,40.5,Normal,NULL,50.0,50.0,50,Ruby,84,71,43,71,43,48,360,2,0,0,0,0,0,2,120,Medium Slow,1059860,Monster,Field,20
295,Exploud,NULL,NULL,1.5,84.0,Normal,NULL,50.0,50.0,50,Ruby,104,91,63,91,73,68,490,3,0,0,0,0,0,3,45,Medium Slow,1059860,Monster,Field,20
296,Makuhita,NULL,NULL,1.0,86.4,Fighting,NULL,75.0,25.0,50,Ruby,72,60,30,20,30,25,237,1,0,0,0,0,0,1,180,Fluctuating,1640000,Human-Like,NULL,20
297,Hariyama,NULL,NULL,2.3,253.8,Fighting,NULL,75.0,25.0,50,Ruby,144,120,60,40,60,50,474,2,0,0,0,0,0,2,200,Fluctuating,1640000,Human-Like,NULL,20
298,Azurill,NULL,NULL,0.2,2.0,Normal,Fairy,25.0,75.0,50,Ruby,50,20,40,20,40,20,190,1,0,0,0,0,0,1,150,Fast,800000,No Eggs Discovered,NULL,10
299,Nosepass,NULL,NULL,1.0,97.0,Rock,NULL,50.0,50.0,50,Ruby,30,45,135,45,90,30,375,0,0,1,0,0,0,1,255,Medium Fast,1000000,Mineral,NULL,20
300,Skitty,NULL,NULL,0.6,11.0,Normal,NULL,25.0,75.0,50,Ruby,50,45,45,35,35,50,260,0,0,0,0,0,1,1,255,Fast,800000,Field,Fairy,15
301,Delcatty,NULL,NULL,1.1,32.6,Normal,NULL,25.0,75.0,50,Ruby,70,65,65,55,55,90,400,1,0,0,0,0,1,2,60,Fast,800000,Field,Fairy,15
302,Sableye,NULL,NULL,0.5,11.0,Dark,Ghost,50.0,50.0,35,Ruby,50,75,75,65,65,50,380,0,1,1,0,0,0,2,45,Medium Slow,1059860,Human-Like,NULL,25
302,Sableye,Mega,NULL,0.5,161.0,Dark,Ghost,50.0,50.0,35,Omega Ruby,50,85,125,85,115,20,480,0,1,1,0,0,0,2,45,Medium Slow,1059860,Human-Like,NULL,25
303,Mawile,NULL,NULL,0.6,11.5,Steel,Fairy,50.0,50.0,50,Ruby,50,85,85,55,55,50,380,0,1,1,0,0,0,2,45,Fast,800000,Field,Fairy,20
303,Mawile,Mega,NULL,1.0,23.5,Steel,Fairy,50.0,50.0,70,X,50,105,125,55,95,50,480,0,1,1,0,0,0,2,45,Fast,800000,Field,Fairy,20
304,Aron,NULL,NULL,0.4,60.0,Steel,Rock,50.0,50.0,35,Ruby,50,70,100,40,40,30,330,0,0,1,0,0,0,1,180,Slow,1250000,Monster,NULL,35
305,Lairon,NULL,NULL,0.9,120.0,Steel,Rock,50.0,50.0,35,Ruby,60,90,140,50,50,40,430,0,0,2,0,0,0,2,90,Slow,1250000,Monster,NULL,35
306,Aggron,NULL,NULL,2.1,360.0,Steel,Rock,50.0,50.0,35,Ruby,70,110,180,60,60,50,530,0,0,3,0,0,0,3,45,Slow,1250000,Monster,NULL,35
306,Aggron,Mega,NULL,2.2,395.0,Steel,NULL,50.0,50.0,35,X,70,140,230,60,80,50,630,0,0,3,0,0,0,3,45,Slow,1250000,Monster,NULL,35
307,Meditite,NULL,NULL,0.6,11.2,Fighting,Psychic,50.0,50.0,50,Ruby,30,40,55,40,55,60,280,0,0,0,0,0,1,1,180,Medium Fast,1000000,Human-Like,NULL,20
308,Medicham,NULL,NULL,1.3,31.5,Fighting,Psychic,50.0,50.0,50,Ruby,60,60,75,60,75,80,410,0,0,0,0,0,2,2,90,Medium Fast,1000000,Human-Like,NULL,20
308,Medicham,Mega,NULL,1.3,31.5,Fighting,Psychic,50.0,50.0,70,X,60,100,85,80,85,100,510,0,0,0,0,0,2,2,90,Medium Fast,1000000,Human-Like,NULL,20
309,Electrike,NULL,NULL,0.6,15.2,Electric,NULL,50.0,50.0,50,Ruby,40,45,40,65,40,65,295,0,0,0,0,0,1,1,120,Slow,1250000,Field,NULL,20
310,Manectric,NULL,NULL,1.5,40.2,Electric,NULL,50.0,50.0,50,Ruby,70,75,60,105,60,105,475,0,0,0,0,0,2,2,45,Slow,1250000,Field,NULL,20
310,Manectric,Mega,NULL,1.8,44.0,Electric,NULL,50.0,50.0,70,X,70,75,80,135,80,135,575,0,0,0,0,0,2,2,45,Slow,1250000,Field,NULL,20
311,Plusle,NULL,NULL,0.4,4.2,Electric,NULL,50.0,50.0,50,Ruby,60,50,40,85,75,95,405,0,0,0,0,0,1,1,200,Medium Fast,1000000,Fairy,NULL,20
312,Minun,NULL,NULL,0.4,4.2,Electric,NULL,50.0,50.0,50,Ruby,60,40,50,75,85,95,405,0,0,0,0,0,1,1,200,Medium Fast,1000000,Fairy,NULL,20
313,Volbeat,NULL,NULL,0.7,17.7,Bug,NULL,100.0,0.0,50,Ruby,65,73,75,47,85,85,430,0,0,0,0,0,1,1,150,Erratic,600000,Bug,Human-Like,15
314,Illumise,NULL,NULL,0.6,17.7,Bug,NULL,0.0,100.0,50,Ruby,65,47,75,73,85,85,430,0,0,0,0,0,1,1,150,Fluctuating,1640000,Bug,Human-Like,15
315,Roselia,NULL,NULL,0.3,2.0,Grass,Poison,50.0,50.0,50,Ruby,50,60,45,100,80,65,400,0,0,0,2,0,0,2,150,Medium Slow,1059860,Fairy,Grass,20
316,Gulpin,NULL,NULL,0.4,10.3,Poison,NULL,50.0,50.0,50,Ruby,70,43,53,43,53,40,302,1,0,0,0,0,0,1,225,Fluctuating,1640000,Amorphous,NULL,20
317,Swalot,NULL,NULL,1.7,80.0,Poison,NULL,50.0,50.0,50,Ruby,100,73,83,73,83,55,467,2,0,0,0,0,0,2,75,Fluctuating,1640000,Amorphous,NULL,20
318,Carvanha,NULL,NULL,0.8,20.8,Water,Dark,50.0,50.0,35,Ruby,45,90,20,65,20,65,305,0,1,0,0,0,0,1,225,Slow,1250000,Water 2,NULL,20
319,Sharpedo,NULL,NULL,1.8,88.8,Water,Dark,50.0,50.0,35,Ruby,70,120,40,95,40,95,460,0,2,0,0,0,0,2,60,Slow,1250000,Water 2,NULL,20
319,Sharpedo,Mega,NULL,2.5,130.3,Water,Dark,50.0,50.0,35,Omega Ruby,70,140,70,110,65,105,560,0,2,0,0,0,0,2,60,Slow,1250000,Water 2,NULL,20
320,Wailmer,NULL,NULL,2.0,130.0,Water,NULL,50.0,50.0,50,Ruby,130,70,35,70,35,60,400,1,0,0,0,0,0,1,125,Fluctuating,1640000,Field,Water 2,40
321,Wailord,NULL,NULL,14.5,398.0,Water,NULL,50.0,50.0,50,Ruby,170,90,45,90,45,60,500,2,0,0,0,0,0,2,60,Fluctuating,1640000,Field,Water 2,40
322,Numel,NULL,NULL,0.7,24.0,Fire,Ground,50.0,50.0,50,Ruby,60,60,40,65,45,35,305,0,0,0,1,0,0,1,255,Medium Fast,1000000,Field,NULL,20
323,Camerupt,NULL,NULL,1.9,220.0,Fire,Ground,50.0,50.0,50,Ruby,70,100,70,105,75,40,460,0,1,0,1,0,0,2,150,Medium Fast,1000000,Field,NULL,20
323,Camerupt,Mega,NULL,2.5,320.5,Fire,Ground,50.0,50.0,70,Omega Ruby,70,120,100,145,105,20,560,0,1,0,1,0,0,2,150,Medium Fast,1000000,Field,NULL,20
324,Torkoal,NULL,NULL,0.5,80.4,Fire,NULL,50.0,50.0,50,Ruby,70,85,140,85,70,20,470,0,0,2,0,0,0,2,90,Medium Fast,1000000,Field,NULL,20
325,Spoink,NULL,NULL,0.7,30.6,Psychic,NULL,50.0,50.0,50,Ruby,60,25,35,70,80,60,330,0,0,0,0,1,0,1,255,Fast,800000,Field,NULL,20
326,Grumpig,NULL,NULL,0.9,71.5,Psychic,NULL,50.0,50.0,50,Ruby,80,45,65,90,110,80,470,0,0,0,0,2,0,2,60,Fast,800000,Field,NULL,20
327,Spinda,NULL,NULL,1.1,5.0,Normal,NULL,50.0,50.0,50,Ruby,60,60,60,60,60,60,360,0,0,0,1,0,0,1,255,Fast,800000,Field,Human-Like,15
328,Trapinch,NULL,NULL,0.7,15.0,Ground,NULL,50.0,50.0,50,Ruby,45,100,45,45,45,10,290,0,1,0,0,0,0,1,255,Medium Slow,1059860,Bug,Dragon,20
329,Vibrava,NULL,NULL,1.1,15.3,Ground,Dragon,50.0,50.0,50,Ruby,50,70,50,50,50,70,340,0,1,0,0,0,1,2,120,Medium Slow,1059860,Bug,Dragon,20
330,Flygon,NULL,NULL,2.0,82.0,Ground,Dragon,50.0,50.0,50,Ruby,80,100,80,80,80,100,520,0,1,0,0,0,2,3,45,Medium Slow,1059860,Bug,Dragon,20
331,Cacnea,NULL,NULL,0.4,51.3,Grass,NULL,50.0,50.0,35,Ruby,50,85,40,85,40,35,335,0,0,0,1,0,0,1,190,Medium Slow,1059860,Grass,Human-Like,20
332,Cacturne,NULL,NULL,1.3,77.4,Grass,Dark,50.0,50.0,35,Ruby,70,115,60,115,60,55,475,0,1,0,1,0,0,2,60,Medium Slow,1059860,Grass,Human-Like,20
333,Swablu,NULL,NULL,0.4,1.2,Normal,Flying,50.0,50.0,50,Ruby,45,40,60,40,75,50,310,0,0,0,0,1,0,1,255,Erratic,600000,Flying,Dragon,20
334,Altaria,NULL,NULL,1.1,20.6,Dragon,Flying,50.0,50.0,50,Ruby,75,70,90,70,105,80,490,0,0,0,0,2,0,2,45,Erratic,600000,Flying,Dragon,20
334,Altaria,Mega,NULL,1.5,20.6,Dragon,Fairy,50.0,50.0,70,Omega Ruby,75,110,110,110,105,80,590,0,0,0,0,2,0,2,45,Erratic,600000,Flying,Dragon,20
335,Zangoose,NULL,NULL,1.3,40.3,Normal,NULL,50.0,50.0,50,Ruby,73,115,60,60,60,90,458,0,2,0,0,0,0,2,90,Erratic,600000,Field,NULL,20
336,Seviper,NULL,NULL,2.7,52.5,Poison,NULL,50.0,50.0,50,Ruby,73,100,60,100,60,65,458,0,1,0,1,0,0,2,90,Fluctuating,1640000,Field,Dragon,20
337,Lunatone,NULL,NULL,1.0,168.0,Rock,Psychic,0.0,0.0,50,Ruby,90,55,65,95,85,70,460,0,0,0,2,0,0,2,45,Fast,800000,Mineral,NULL,25
338,Solrock,NULL,NULL,1.2,154.0,Rock,Psychic,0.0,0.0,50,Ruby,90,95,85,55,65,70,460,0,2,0,0,0,0,2,45,Fast,800000,Mineral,NULL,25
339,Barboach,NULL,NULL,0.4,1.9,Water,Ground,50.0,50.0,50,Ruby,50,48,43,46,41,60,288,1,0,0,0,0,0,1,190,Medium Fast,1000000,Water 2,NULL,20
340,Whiscash,NULL,NULL,0.9,23.6,Water,Ground,50.0,50.0,50,Ruby,110,78,73,76,71,60,468,2,0,0,0,0,0,2,75,Medium Fast,1000000,Water 2,NULL,20
341,Corphish,NULL,NULL,0.6,11.5,Water,NULL,50.0,50.0,50,Ruby,43,80,65,50,35,35,308,0,1,0,0,0,0,1,205,Fluctuating,1640000,Water 1,Water 3,15
342,Crawdaunt,NULL,NULL,1.1,32.8,Water,Dark,50.0,50.0,50,Ruby,63,120,85,90,55,55,468,0,2,0,0,0,0,2,155,Fluctuating,1640000,Water 1,Water 3,15
343,Baltoy,NULL,NULL,0.5,21.5,Ground,Psychic,0.0,0.0,50,Ruby,40,40,55,40,70,55,300,0,0,0,0,1,0,1,255,Medium Fast,1000000,Mineral,NULL,20
344,Claydol,NULL,NULL,1.5,107.9,Ground,Psychic,0.0,0.0,50,Ruby,60,70,105,70,120,75,500,0,0,0,0,2,0,2,90,Medium Fast,1000000,Mineral,NULL,20
345,Lileep,NULL,NULL,1.0,23.8,Rock,Grass,87.5,12.5,50,Ruby,66,41,77,61,87,23,355,0,0,0,0,1,0,1,45,Erratic,600000,Water 3,NULL,30
346,Cradily,NULL,NULL,1.5,60.4,Rock,Grass,87.5,12.5,50,Ruby,86,81,97,81,107,43,495,0,0,0,0,2,0,2,45,Erratic,600000,Water 3,NULL,30
347,Anorith,NULL,NULL,0.7,12.5,Rock,Bug,87.5,12.5,50,Ruby,45,95,50,40,50,75,355,0,1,0,0,0,0,1,45,Erratic,600000,Water 3,NULL,30
348,Armaldo,NULL,NULL,1.5,68.2,Rock,Bug,87.5,12.5,50,Ruby,75,125,100,70,80,45,495,0,2,0,0,0,0,2,45,Erratic,600000,Water 3,NULL,30
349,Feebas,NULL,NULL,0.6,7.4,Water,NULL,50.0,50.0,50,Ruby,20,15,20,10,55,80,200,0,0,0,0,0,1,1,255,Erratic,600000,Water 1,Dragon,20
350,Milotic,NULL,NULL,6.2,162.0,Water,NULL,50.0,50.0,50,Ruby,95,60,79,100,125,81,540,0,0,0,0,2,0,2,60,Erratic,600000,Water 1,Dragon,20
350,Milotic,NULL,NULL,6.2,162.0,Water,NULL,50.0,50.0,50,Ruby,95,60,79,100,125,81,540,0,0,0,0,2,0,2,60,Erratic,600000,Water 1,Dragon,20
351,Castform,NULL,NULL,0.3,0.8,Normal,NULL,50.0,50.0,50,Ruby,70,70,70,70,70,70,420,1,0,0,0,0,0,1,45,Medium Fast,1000000,Fairy,Amorphous,25
351,Castform,Sunny,NULL,0.3,0.8,Fire,NULL,50.0,50.0,50,Ruby,70,70,70,70,70,70,420,1,0,0,0,0,0,1,45,Medium Fast,1000000,Fairy,Amorphous,25
351,Castform,Rainy,NULL,0.3,0.8,Water,NULL,50.0,50.0,50,Ruby,70,70,70,70,70,70,420,1,0,0,0,0,0,1,45,Medium Fast,1000000,Fairy,Amorphous,25
351,Castform,Snowy,NULL,0.3,0.8,Ice,NULL,50.0,50.0,50,Ruby,70,70,70,70,70,70,420,1,0,0,0,0,0,1,45,Medium Fast,1000000,Fairy,Amorphous,25
352,Kecleon,NULL,NULL,1.0,22.0,Normal,NULL,50.0,50.0,50,Ruby,60,90,70,60,120,40,440,0,0,0,0,1,0,1,200,Medium Slow,1059860,Field,NULL,20
353,Shuppet,NULL,NULL,0.6,2.3,Ghost,NULL,50.0,50.0,35,Ruby,44,75,35,63,33,45,295,0,1,0,0,0,0,1,225,Fast,800000,Amorphous,NULL,25
354,Banette,NULL,NULL,1.1,12.5,Ghost,NULL,50.0,50.0,35,Ruby,64,115,65,83,63,65,455,0,2,0,0,0,0,2,45,Fast,800000,Amorphous,NULL,25
354,Banette,Mega,NULL,1.2,13.0,Ghost,NULL,50.0,50.0,35,X,64,165,75,93,83,75,555,0,2,0,0,0,0,2,45,Fast,800000,Amorphous,NULL,25
355,Duskull,NULL,NULL,0.8,15.0,Ghost,NULL,50.0,50.0,35,Ruby,20,40,90,30,90,25,295,0,0,0,0,1,0,1,190,Fast,800000,Amorphous,NULL,25
356,Dusclops,NULL,NULL,1.6,30.6,Ghost,NULL,50.0,50.0,35,Ruby,40,70,130,60,130,25,455,0,0,1,0,1,0,2,90,Fast,800000,Amorphous,NULL,25
357,Tropius,NULL,NULL,2.0,100.0,Grass,Flying,50.0,50.0,50,Ruby,99,68,83,72,87,51,460,2,0,0,0,0,0,2,200,Slow,1250000,Monster,Grass,25
358,Chimecho,NULL,NULL,0.6,1.0,Psychic,NULL,50.0,50.0,50,Ruby,75,50,80,95,90,65,455,0,0,0,1,1,0,2,45,Fast,800000,Amorphous,NULL,25
359,Absol,NULL,NULL,1.2,47.0,Dark,NULL,50.0,50.0,35,Ruby,65,130,60,75,60,75,465,0,2,0,0,0,0,2,30,Medium Slow,1059860,Field,NULL,25
